# Logfile created on Tue Jul 27 01:07:35 +0000 2010 by logger.rb/22285
I, [2010-07-27T01:07:35.407837 #5955]  INFO -- : GET: https://my.rightscale.com/api/acct/2901/deployments.js?filter[]=nickname=PHPVEETEN-ec2-west-438799-RightImage_Ubuntu_8.04_i386_v5.3_Beta&
I, [2010-07-27T01:11:58.497983 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:58.535660 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:12:03.647987 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:12:03.683109 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:12:08.787961 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:12:08.818237 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:12:13.957975 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:12:14.017561 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:12:19.137979 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:12:19.168363 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:12:24.327964 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:12:24.361186 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:12:30.267966 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:12:30.298951 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:12:35.438055 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:12:35.472571 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:12:35.626832 #5955]  INFO -- : GET: /api/acct/2901/servers/795890.js?
I, [2010-07-27T01:12:35.774388 #5955]  INFO -- : tempserver-PHP App Server v10 (Beta) is stopped
I, [2010-07-27T01:12:35.808331 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:12:35.944653 #5955]  INFO -- : tempserver-PHP Front End v10 (Beta) is stopped
I, [2010-07-27T01:12:35.974773 #5955]  INFO -- : GET: /api/acct/2901/servers/795888.js?
I, [2010-07-27T01:12:36.048470 #5955]  INFO -- : tempserver-PHP Front End v10 (Beta) is stopped
I, [2010-07-27T01:12:36.083841 #5955]  INFO -- : POST: /api/acct/2901/servers/795886/start
I, [2010-07-27T01:12:40.677937 #5955]  INFO -- : POST: /api/acct/2901/servers/795888/start
I, [2010-07-27T01:12:44.175808 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:12:44.271429 #5955]  INFO -- : tempserver-PHP Front End v10 (Beta) is bidding
I, [2010-07-27T01:12:49.277966 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:12:49.316522 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:12:54.617979 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:12:54.652307 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:00.117987 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:00.160865 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:05.248198 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:05.283135 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:11.087964 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:11.122290 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:16.207959 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:16.243390 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:21.347997 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:21.379080 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:26.508001 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:26.542433 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:32.547961 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:32.578323 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:37.677966 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:37.712300 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:42.817963 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:42.848295 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:47.957964 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:47.992168 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:53.085909 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:53.116093 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:13:58.245916 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:13:58.280045 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:14:03.405918 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:14:03.442029 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:14:09.005906 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:14:09.090266 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:14:14.225902 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:14:14.262050 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:14:19.355912 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
I, [2010-07-27T01:14:19.392900 #5955]  INFO -- : GET: /api/acct/2901/servers/795886.js?
I, [2010-07-27T01:14:24.665927 #5955]  INFO -- : waiting for server tempserver-PHP Front End v10 (Beta) to go operational, state is bidding
