# Logfile created on Tue Jul 27 18:36:07 +0000 2010 by logger.rb/22285
I, [2010-07-27T18:36:07.857217 #9014]  INFO -- : GET: https://my.rightscale.com/api/acct/2901/deployments.js?filter[]=nickname=MY51-ec2-east-418214-RightImage_Ubuntu_9.10_i386_v4.5&
I, [2010-07-27T18:36:53.384147 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:53.419074 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:36:57.514143 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:57.543558 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:36:59.314129 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:59.356782 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:02.684225 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:02.715830 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:04.474127 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:04.521482 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:07.834156 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:07.866922 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:09.664126 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:09.729974 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:13.014123 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:13.044244 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:14.854110 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:14.884691 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:18.134158 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:18.168269 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
